wikipedia_id,wikipedia_key,wikipedia_title,title,thumbnail
54268808,Code_8_(2019_film),Code 8 (2019 film),Code 8,https://image.tmdb.org/t/p/w500/izGX7npHEopDQvngYcxMJEfcFbj.jpg
52659577,Dune_(2021_film),Dune (2021 film),Dune,https://image.tmdb.org/t/p/w500/d5NXSklXo0qyIYkgV94XAgMIckC.jpg
75973106,My_Name_Is_Loh_Kiwan,My Name Is Loh Kiwan,My Name Is Loh Kiwan,https://image.tmdb.org/t/p/w500/x4BkphLO6abbGhceYEMhJERkvHo.jpg
61705538,Como_si_fuera_la_primera_vez,Como si fuera la primera vez,Como si fuera la primera vez,
75814370,Mea_Culpa_(2024_film),Mea Culpa (2024 film),Mea Culpa,https://image.tmdb.org/t/p/w500/roxD9VCTTXYfPjVj9HiSC5IMtc7.jpg
70926595,"Ruby_Gillman,_Teenage_Kraken","Ruby Gillman, Teenage Kraken","Ruby Gillman, Teenage Kraken",https://image.tmdb.org/t/p/w500/8ChIb3WzYAcza1vrXR56v510MWk.jpg
72856967,Thanksgiving_(2023_film),Thanksgiving (2023 film),Thanksgiving,https://image.tmdb.org/t/p/w500/f5f3TEVst1nHHyqgn7Z3tlwnBIH.jpg
14414193,Crossroads_(1942_film),Crossroads (1942 film),Crossroads,https://image.tmdb.org/t/p/w500/2sMo7gwZ8L7KttiW210T0ueJ2eX.jpg
75848757,Players_(2024_film),Players (2024 film),Players,https://image.tmdb.org/t/p/w500/eA94hAGntLm7Lfol5FQJNxd53Hw.jpg
45568,The_Abyss,The Abyss,The Abyss,https://image.tmdb.org/t/p/w500/2dCit3XAtv9KWCJvRKdPkJ0FAkH.jpg
74829553,Dunki_(film),Dunki (film),Dunki,
74946847,Lost_in_the_Night,Lost in the Night,Lost in the Night,https://image.tmdb.org/t/p/w500/gB2itwKca8jKk0SAkWV3NUkzmYu.jpg
38645503,Despicable_Me_3,Despicable Me 3,Despicable Me 3,https://image.tmdb.org/t/p/w500/6t3YWl7hrr88lCEFlGVqW5yV99R.jpg
4597853,The_Devil_Wears_Prada_(film),The Devil Wears Prada (film),The Devil Wears Prada,https://image.tmdb.org/t/p/w500/8912AsVuS7Sj915apArUFbv6F9L.jpg
75858689,Bhakshak,Bhakshak,Bhakshak,https://image.tmdb.org/t/p/w500/2eCELoyf0l3njFKfn3oddo3JaRG.jpg
69349627,Guntur_Kaaram,Guntur Kaaram,Guntur Kaaram,https://image.tmdb.org/t/p/w500/6wRGuOf5k9x04A3wz6w7BrzRRJ2.jpg
75948811,The_Greatest_Night_in_Pop,The Greatest Night in Pop,The Greatest Night in Pop,https://image.tmdb.org/t/p/w500/jDz4wFujk94tQP9Sx6EMKDULvkn.jpg
74026230,Orion_and_the_Dark,Orion and the Dark,Orion and the Dark,https://image.tmdb.org/t/p/w500/oT53tpbp12PfJ0ifCs71Viue8R8.jpg
63614918,The_Postcard_Killings,The Postcard Killings,The Postcard Killings,https://image.tmdb.org/t/p/w500/ugLLTEYBuNTqdQ0zCjFCJ5mI44p.jpg
29462138,The_Vow_(2012_film),The Vow (2012 film),The Vow,https://image.tmdb.org/t/p/w500/qHNjcjKa6VHJsa0Eu0DHl2BaYw3.jpg
39377504,Fury_(2014_film),Fury (2014 film),Fury,https://image.tmdb.org/t/p/w500/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg
71610564,The_Beast_(2023_film),The Beast (2023 film),The Beast,
75401561,Instant_Daddy,Instant Daddy,Instant Daddy,https://image.tmdb.org/t/p/w500/ur13oHhTmsqPVjx5FGOuzB1zTxC.jpg
