title,author
"Friends, Lovers, and the Big Terrible Thing",Matthew  Perry
The Heaven & Earth Grocery Store,James   McBride
"Hell Bent (Alex Stern, #2)",Leigh Bardugo
"Two Twisted Crowns (The Shepherd King, #2)",Rachel Gillig
"The Adventures of Amina al-Sirafi (Amina al-Sirafi, #1)",Shannon Chakraborty
"Hollowpox: The Hunt for Morrigan Crow (Nevermoor, #3)",Jessica Townsend
Sin Eater,Megan Campisi
The Final Girl Support Group,Grady Hendrix
Navigate Your Stars,Jesmyn Ward
Summer Snow: New Poems,Robert Hass
Gallant,V.E.  Schwab
The Knockout Queen,Rufi Thorpe
The Mercies,Kiran Millwood Hargrave
"Life’s Too Short (The Friend Zone, #3)",Abby Jimenez
"Practice Makes Perfect (When in Rome, #2)",Sarah       Adams
The Night Shift,Alex Finlay
"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell
The Burning Girls,C.J. Tudor
"Part of Your World (Part of Your World, #1)",Abby Jimenez
Hani and Ishu’s Guide to Fake Dating,Adiba Jaigirdar
Postcolonial Love Poem,Natalie Díaz
The Writing Retreat,Julia Bartz
"The Hand on the Wall (Truly Devious, #3)",Maureen Johnson
My Evil Mother,Margaret Atwood
"Twisted Games (Twisted, #2)",Ana Huang
Her Last Flight,Beatriz Williams
"The Lost Metal (Mistborn, #7)",Brandon Sanderson
"Fugitive Telemetry (The Murderbot Diaries, #6)",Martha Wells
The Illness Lesson,Clare Beams
Deacon King Kong,James   McBride
All the Dangerous Things,Stacy Willingham
"War Lord (The Saxon Stories, #13)",Bernard Cornwell
Happy-Go-Lucky,David Sedaris
Yes No Maybe So,Becky Albertalli
The Cousins,Karen M. McManus
"Leviathan Falls (The Expanse, #9)",James S.A. Corey
Big Swiss,Jen Beagin
The Paris Hours,Alex George
Spare,Prince Harry
"Jade Legacy (The Green Bone Saga, #3)",Fonda Lee
I Want You to Know We’re Still Here: A Post-Holocaust Memoir,Esther Safran Foer
Imaginary Museums: Stories,Nicolette Polek
"The Bone Shard Daughter (The Drowning Empire, #1)",Andrea Stewart
Cleopatra and Frankenstein,Coco Mellors
"Demon in the Wood (Grishaverse, #0)",Leigh Bardugo
To Wake the Giant: A Novel of Pearl Harbor,Jeff Shaara
The Operator,Gretchen Berg
Weather,Jenny Offill
"Break Your Glass Slippers (You Are Your Own Fairy Tale, #1)",Amanda Lovelace
"A River Enchanted (Elements of Cadence, #1)",Rebecca   Ross
Remote Control,Nnedi Okorafor
Five Survive,Holly  Jackson
Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah
The Sweet Taste of Muscadines,Pamela Terry
"Gleam (The Plated Prisoner, #3)",Raven Kennedy
"The Last Graduate (The Scholomance, #2)",Naomi Novik
The Lies That Bind,Emily Giffin
These Tangled Vines,Julianne MacLean
These Precious Days: Essays,Ann Patchett
All Rhodes Lead Here,Mariana Zapata
Riot Baby,Tochi Onyebuchi
LOVE OVER CAPPUCCINO,Mansi Modi
Fateful Destiny: An Epic Struggle to Change the Course of American History,Marshall Anders
Metaphysics of Sound,Nataša Pantović
Anshuman krit Saral Vastu Gyan,Anshuman Srivastav
My Dirty California,Jason Mosberg
All My Rage,Sabaa Tahir
Pickard County Atlas,Chris Harding Thornton
Bewilderment,Richard Powers
Winter’s Orbit,Everina Maxwell
The Likely Resolutions of Oliver Clock,Jane  Riley
The Colony,Audrey Magee
"Well Played (Well Met, #2)",Jen DeLuca
"A Deal with the Elf King (Married to Magic, #1)",Elise Kova
How the King of Elfhame Learned to Hate Stories,Holly Black
Conjure Women,Afia Atakora
The Second Mrs. Astor,Shana Abe
"The Stardust Thief (The Sandsea Trilogy, #1)",Chelsea Abdullah
Djinn Patrol on the Purple Line,Deepa Anappara
"Magnolia Parks (Magnolia Parks Universe, #1)",Jessa Hastings
The Seven Year Slip,Ashley Poston
The Turnout,Megan Abbott
The Nineties,Chuck Klosterman
Icebreaker,A.L. Graziadei
"A Beautifully Foolish Endeavor (The Carls, #2)",Hank Green
The Bright Side Sanctuary for Animals,Becky Mandelbaum
Sharks in the Time of Saviors,Kawai Strong Washburn
"All the Feels (Spoiler Alert, #2)",Olivia Dade
Mary Jane,Jessica Anya Blau
Hang the Moon,Jeannette Walls
"The Madness of Crowds (Chief Inspector Armand Gamache, #17)",Louise Penny
"The Tower of Nero (The Trials of Apollo, #5)",Rick Riordan
The Very Secret Society of Irregular Witches,Sangu Mandanna
"To The End (Hannaford Prep, #4)",J.  Bree
Lady Tan’s Circle of Women,Lisa See
Seven Days in June,Tia Williams
"A Stitch in Time (A Stitch in Time, #1)",Kelley Armstrong
"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber
Irreversible Damage: The Transgender Craze Seducing Our Daughters,Abigail Shrier
The Promise,Damon Galgut
"Lore Olympus: Volume Four (Lore Olympus, #4)",Rachel  Smythe
"The Summer Deal (Wildstone, #5)",Jill Shalvis
"Lords of Mercy (Royals of Forsyth University, #3)",Angel Lawson
"Dawnshard (The Stormlight Archive, #3.5)",Brandon Sanderson
The House of Doors,Tan Twan Eng
"Powerless (The Powerless Trilogy, #1)",Lauren  Roberts
"World of Wonders: In Praise of Fireflies, Whale Sharks, and Other Astonishments",Aimee Nezhukumatathil
Honey Girl,Morgan  Rogers
What My Bones Know: A Memoir of Healing from Complex Trauma,Stephanie Foo
All This Time,Mikki Daughtry
Beyond the Wand: The Magic and Mayhem of Growing Up a Wizard,Tom Felton
Little Secrets,Jennifer Hillier
How to Sell a Haunted House,Grady Hendrix
Go as a River,Shelley Read
Antiracist Baby,Ibram X. Kendi
"House of Flame and Shadow (Crescent City, #3)",Sarah J. Maas
Strange Hotel,Eimear McBride
"Almost Just Friends (Wildstone, #4)",Jill Shalvis
"Finna (LitenVerse, #1)",Nino Cipri
Twilight of Democracy: The Seductive Lure of Authoritarianism,Anne Applebaum
"Return of the Trickster (Trickster, #3)",Eden Robinson
Utopia Avenue,David Mitchell
The First Woman,Jennifer Nansubuga Makumbi
"The Cheat Sheet (The Cheat Sheet, #1)",Sarah       Adams
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown
Have You Seen Me?,Kate White
The Bone Maker,Sarah Beth Durst
The Constant Rabbit,Jasper Fforde
"Hook, Line, and Sinker (Bellinger Sisters, #2)",Tessa Bailey
"Wild Sign (Alpha & Omega, #6)",Patricia Briggs
How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,Bill  Gates
Don’t Burn This Book: Thinking for Yourself in an Age of Unreason,Dave  Rubin
"Four Hundred Souls: A Community History of African America, 1619-2019",Ibram X. Kendi
The Bandit Queens,Parini Shroff
"Float Plan (Beck Sisters, #1)",Trish Doller
"Dear Justyce (Dear Martin, #2)",Nic Stone
The Violin Conspiracy,Brendan Slocumb
"What Moves the Dead (Sworn Soldier, #1)",T. Kingfisher
"Why Fish Don’t Exist: A Story of Loss, Love, and the Hidden Order of Life",Lulu Miller
"Imogen, Obviously",Becky Albertalli
"Agent Sonya: Lover, Mother, Soldier, Spy",Ben Macintyre
The Lost Girls of Devon,Barbara O'Neal
"Corona, False Alarm?: Facts and Figures",Karina  Reiss
"Terciel and Elinor (The Old Kingdom, #6)",Garth Nix
Young Mungo,Douglas   Stuart
No Time Like the Future: An Optimist Considers Mortality,Michael J. Fox
"A Shadow in the Ember (Flesh and Fire, #1)",Jennifer L. Armentrout
The Other Side of Beautiful,Kim Lock
Our Wives Under the Sea,Julia Armfield
Once Upon a Time in Hollywood,Quentin Tarantino
"What Happened To You? Conversations on Trauma, Resilience, and Healing",Bruce D. Perry
When We Were Birds,Ayanna Lloyd Banwo
Hester,Laurie Lico Albanese
"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures",Merlin Sheldrake
You Deserve Each Other,Sarah Hogle
The Island,Adrian McKinty
